,Applicant,Applicant country,Region,Category,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
0,1Globe Biomedical Co Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
1,1Globe Health Institute Llc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
2,"2Nd Affiliated Hospital, Nanjing Medical University",China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
3,3D Medicines Beijing Co. Ltd.,China,Asia,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2019.0,2019.0,Transient,1.0,1.0
4,3M Innovative Properties Co.,United States,North America,Commercial,1.0,3.0,0.030129557095510694,3.0,0.0010090817356205853,0.0,2015.0,2015.0,Transient,1.0,1.0
5,4Sc Ag,Germany,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2019.0,2020.0,Terminator,2.0,1.0
6,6J Biotechnology Hong Kong Ltd,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
7,7 Hills Pharma Llc,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,2.0
8,9 Meters Biopharma Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
9,A28 Therapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
10,"Abate, Justin, Donald",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.006054490413723511,0.0,2006.0,2006.0,Transient,1.0,1.0
11,Abbisko Therapeutics Co. Ltd.,China,Asia,Commercial,6.0,4.0,0.1807773425730642,0.6666666666666666,,,2019.0,2023.0,Continuant,5.0,1.2
12,Abbvie Biotherapeutics Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
13,Abbvie Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
14,Abclon Inc,South Korea,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2016.0,2018.0,Terminator,3.0,0.6666666666666666
15,"Abdullah, Shaad",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2022.0,2022.0,Transient,1.0,1.0
16,Abeome Corp,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
17,Abl Bio Inc,South Korea,Asia,Commercial,2.0,2.0,0.06025911419102139,1.0,0.0020181634712411706,8.15419584339867e-06,2019.0,2019.0,Transient,1.0,2.0
18,Abraham Anson A.,,,Individual,1.0,1.0,0.030129557095510694,1.0,0.0030272452068617556,0.0,2021.0,2021.0,Transient,1.0,1.0
19,Abvision Inc.,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
20,Ac Bioscience Sa,Switzerland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
21,Academia Sinica,Taiwan,Asia,Academic,2.0,0.0,0.06025911419102139,0.0,0.0020181634712411706,2.0385489608496674e-06,2015.0,2020.0,Terminator,6.0,0.3333333333333333
22,Academisch Centrum Tandheelkunde Amsterdam,Netherlands,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
23,Academisch Ziekenhuis Leiden,Netherlands,Europe,Academic,1.0,0.0,0.030129557095510694,0.0,,,2018.0,2018.0,Transient,1.0,1.0
24,Accenture Global Solutions Ltd,Ireland,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2019.0,2019.0,Transient,1.0,1.0
25,Accure Health Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2020.0,2020.0,Transient,1.0,1.0
26,Acerta Pharma Bv,Netherlands,Europe,Commercial,5.0,60.0,0.15064778547755348,12.0,,,2015.0,2017.0,Terminator,3.0,1.6666666666666667
27,Acetylon Pharmaceuticals Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
28,Acroimmune Biotech Co Ltd,China,Asia,Commercial,1.0,2.0,0.030129557095510694,2.0,,,2020.0,2020.0,Transient,1.0,1.0
29,Act Therapeutics Ltd,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
30,Actigen Ltd,United Kingdom,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
31,Actinium Pharmaceuticals Inc.,United States,North America,Commercial,5.0,2.0,0.15064778547755348,0.4,,,2021.0,2022.0,Terminator,2.0,2.5
32,Adaerata Lp,United States,North America,Commercial,2.0,4.0,0.06025911419102139,2.0,,,2017.0,2019.0,Terminator,3.0,0.6666666666666666
33,Adagene Ag,Switzerland,Europe,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2020.0,2021.0,Terminator,2.0,1.0
34,Adagene Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0010090817356205853,0.0,2019.0,2022.0,Terminator,4.0,0.5
35,Aden Int Co Ltd,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
36,Adept Biopharmaceutical And Tech Ltd,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
37,Adept Therapeutics Inc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2023.0,2023.0,Newcomer,1.0,1.0
38,"Adesokan, Adeyemi",,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0030272452068617556,0.0,2022.0,2022.0,Transient,1.0,1.0
39,Adeveita Life Science Ltd. Responsibility Company,South Korea,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2020.0,2020.0,Transient,1.0,1.0
40,Adewoye Md Adeboye Henry,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
41,Adlai Nortye Biopharma Co. Ltd.,China,Asia,Commercial,2.0,0.0,0.06025911419102139,0.0,,,2021.0,2022.0,Terminator,2.0,1.0
42,Aduro Biotech Holdings Europe B.V.,Netherlands,Europe,Commercial,1.0,13.0,0.030129557095510694,13.0,,,2017.0,2017.0,Transient,1.0,1.0
43,Aduro Biotech Inc.,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
44,Aduro Gvax Inc,United States,North America,Commercial,1.0,39.0,0.030129557095510694,39.0,0.004036326942482341,0.0,2012.0,2012.0,Transient,1.0,1.0
45,Advanced Accelerator Applications Italy S.R.L.,Italy,Europe,Commercial,,,,,,,,,Advanced Accelerator Applications Italy S.R.L.,,
46,Advanced Accelerator Applications S.A. France,France,Europe,Commercial,,,,,,,,,Advanced Accelerator Applications S.A. France,,
47,Advanced Accelerator Applications Sa,France,Europe,Commercial,5.0,5.0,0.15064778547755348,1.0,0.0030272452068617556,0.00165530175620993,2019.0,2022.0,Terminator,4.0,1.25
48,Advanced Accelerator Applications Usa Inc.,United States,North America,Commercial,2.0,0.0,0.06025911419102139,0.0,0.0020181634712411706,0.0,2021.0,2021.0,Transient,1.0,2.0
49,Advanced Biodesign,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2022.0,2022.0,Transient,1.0,1.0
50,Advanced Bioscience Laboratories,United States,North America,Academic,1.0,5.0,0.030129557095510694,5.0,0.0010090817356205853,0.0,2019.0,2019.0,Transient,1.0,1.0
51,Advanced Innovation Development Co. Ltd.,China,Asia,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
52,Advantigen Biosciences Llc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2022.0,2022.0,Transient,1.0,1.0
53,Advaxis Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2015.0,2015.0,Transient,1.0,1.0
54,Advenchen Pharmaceuticals Llc,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,0.0010090817356205853,0.0,2021.0,2021.0,Transient,1.0,1.0
55,Aerase Inc.,United States,North America,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2017.0,2017.0,Transient,1.0,1.0
56,Aetio Biotherapy Inc,United States,North America,Commercial,1.0,1.0,0.030129557095510694,1.0,,,2021.0,2021.0,Transient,1.0,1.0
57,Afar Daniel E. H,,,Individual,1.0,0.0,0.030129557095510694,0.0,0.004036326942482341,0.0,2023.0,2023.0,Newcomer,1.0,1.0
58,Affiliated Hospital Qingdao University,China,Asia,Academic,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
59,Affiliated Kernel Hospital Of Medical College Of Shanghai Traffic University,China,Asia,Academic,1.0,1.0,0.030129557095510694,1.0,,,2021.0,2021.0,Transient,1.0,1.0
60,Affiliated Tongji Hospital Of Tongji Medical College Of Huazhong University Of Science & Technology,China,Asia,Academic,3.0,1.0,0.0903886712865321,0.3333333333333333,,,2019.0,2023.0,Continuant,5.0,0.6
61,Affiliated Zhongshan Hospital Of Fudan University,China,Asia,Academic,2.0,0.0,0.06025911419102139,0.0,,,2022.0,2022.0,Transient,1.0,2.0
62,Affimed Gmbh,Germany,Europe,Commercial,2.0,6.0,0.06025911419102139,3.0,,,2015.0,2017.0,Terminator,3.0,0.6666666666666666
63,"Agency For Science, Technology, And Research, Singapore",Singapore,Asia,Academic,5.0,4.0,0.15064778547755348,0.8,0.0020181634712411706,0.0,2015.0,2022.0,Terminator,8.0,0.625
64,Agendia N.V.,Netherlands,Europe,Commercial,1.0,0.0,0.030129557095510694,0.0,,,2021.0,2021.0,Transient,1.0,1.0
65,Agenus Inc,United States,North America,Commercial,3.0,0.0,0.0903886712865321,0.0,0.0020181634712411706,0.0,2016.0,2021.0,Terminator,6.0,0.5
66,Agonox Inc.,United States,North America,Commercial,3.0,0.0,0.0903886712865321,0.0,0.0010090817356205853,0.0,2018.0,2022.0,Terminator,5.0,0.6
67,Ahmed Rafi,,,Individual,1.0,371.0,0.030129557095510694,371.0,0.006054490413723511,0.0,2009.0,2009.0,Transient,1.0,1.0
