,Application Year,Lens ID,Applicant
0,2020,197-733-628-711-768,4Sc Ag
1,2020,023-616-950-865-48X,Olivia Newton John Cancer Research Institute
2,2019,094-569-953-648-612,Suzhou Shengdiya Biological Medicine Co. Ltd.
3,2019,094-569-953-648-612,Jiangsu Hengrui Medicine Co. Ltd.
4,2019,143-969-408-220-424,Suzhou Shengdiya Biological Medicine Co. Ltd.
5,2019,143-969-408-220-424,Jiangsu Hengrui Medicine Co. Ltd.
6,2019,194-887-353-832-386,Stichting Het Nederlands Kanker Inst Antoni Van Leeuwenhoek Ziekenhuis
7,2019,194-887-353-832-386,University Of Basel
8,2020,048-687-952-766-173,Shanghai Pharma Sine Pharmaceutical Factory Co. Ltd.
9,2020,119-707-519-691-958,Shanghai Pharma Sine Pharmaceutical Factory Co. Ltd.
10,2020,149-016-712-581-254,Shanghai Hengrui Pharmaceutical Co. Ltd.
11,2020,149-016-712-581-254,Suzhou Shengdiya Biological Medicine Co. Ltd.
12,2020,149-016-712-581-254,Jiangsu Hengrui Medicine Co. Ltd.
13,2020,020-234-034-382-965,Huya Bioscience International Llc
14,2019,193-296-399-826-79X,4Sc Ag
15,2017,186-328-359-013-188,Chemocentryx Inc.
16,2020,091-135-388-662-800,Shanghai Pharma Sine Pharmaceutical Factory Co. Ltd.
17,2020,168-324-458-691-100,Memorial Sloan Kettering Cancer Center
18,2020,168-324-458-691-100,University Of Texas
19,2017,101-736-286-883-834,Huya Bioscience International Llc
20,2022,054-749-252-162-457,"University Of Beijing Friendship Hospital, Capital Medical"
21,2020,105-903-923-252-519,Apexigen Inc.
22,2023,028-840-280-372-042,"University Of Beijing Friendship Hospital, Capital Medical"
23,2015,140-905-263-458-164,Acerta Pharma Bv
24,2016,099-972-495-487-55X,Acerta Pharma Bv
25,2023,084-654-388-882-687,Tvardi Therapeutics Inc.
26,2017,159-022-558-374-68X,Huya Bioscience International Llc
27,2021,104-169-688-287-294,Wuxi Zhu Biotechnology Co. Ltd.
28,2021,104-169-688-287-294,"Beijing Tumor Hospital, Beijing University Tumor Hospital"
29,2023,073-799-134-846-764,Us Health
30,2017,062-792-723-050-448,Euclises Pharmaceuticals Inc.
31,2013,047-363-504-689-672,Hoffmann La Roche
32,2021,131-145-023-516-075,University Of Southern California
33,2021,071-664-566-868-368,Iovance Biotherapeutics Inc.
34,2021,071-354-219-787-949,Iovance Biotherapeutics Inc.
35,2021,183-342-402-532-840,University Health Network
36,2021,198-760-494-236-243,Endocyte Inc.
37,2021,176-039-135-090-295,Advanced Accelerator Applications Sa
38,2021,176-039-135-090-295,Advanced Accelerator Applications Usa Inc.
39,2021,176-039-135-090-295,Novartis Pharma Ag
40,2022,053-424-343-706-550,University Of Harbin Medical
41,2021,087-344-230-867-220,Advanced Accelerator Applications Sa
42,2021,087-344-230-867-220,Advanced Accelerator Applications Usa Inc.
43,2021,087-344-230-867-220,Novartis Pharma Ag
44,2022,125-577-618-359-269,Hangzhou Hertz Pharmaceutical Co. Ltd.
45,2020,102-302-851-248-971,Eli Lilly And Company
46,2020,066-198-906-395-602,Biotin Company
47,2022,012-506-717-164-680,Gilead Sciences Inc.
48,2022,173-590-412-060-031,Guangzhou Joyo Pharmatech Co. Ltd.
49,2022,173-590-412-060-031,Shanghai Jia Tan Pharmatech Co. Ltd.
50,2020,087-172-225-774-208,University Of Hunan
51,2020,040-334-730-453-660,Shanghai Zaiji Medicine Tech Co. Ltd.
52,2021,024-511-448-523-332,Incyte Corp.
53,2020,083-367-024-613-20X,Zichen Ocean Medical Tech Shanghai Co. Ltd.
54,2018,056-578-499-819-931,Nanjing Sanhome Pharmaceutical Co. Ltd.
55,2021,092-398-489-145-82X,I-Mab Biopharma Co. Ltd.
56,2021,092-398-489-145-82X,I-Mab Biopharma Us Ltd.
