,Inventor,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,Degree Centrality,Betweenness Centrality,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
0,A Moore Paul,2.0,0.0,0.06027727546714888,0.0,0.0006607201850016519,0.0,2016.0,2016.0,Transient,1.0,2.0
1,Aanur Praveen,2.0,0.0,0.06027727546714888,0.0,0.00044048012333443455,7.555592423935923e-05,2018.0,2019.0,Terminator,2.0,1.0
2,Aaron P Yamniuk,1.0,0.0,0.03013863773357444,0.0,0.0023125206475057814,0.0,2017.0,2017.0,Transient,1.0,1.0
3,Abaskharoun Mena,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2020.0,2020.0,Transient,1.0,1.0
4,Abate Justin D,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2014.0,2014.0,Transient,1.0,1.0
5,Abate Justin Donald,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2012.0,2012.0,Transient,1.0,1.0
6,Abate-Daga Daniel,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2023.0,2023.0,Newcomer,1.0,1.0
7,Abbadessa Giovanni,4.0,1.0,0.12055455093429776,0.25,0.0007708402158352604,1.819163504960495e-08,2022.0,2022.0,Transient,1.0,4.0
8,Abdel-Wahab Omar,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
9,Abdelsamed Hossam,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2017.0,2017.0,Transient,1.0,1.0
10,Abdiche Yasmina Noubia,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2019.0,2019.0,Transient,1.0,1.0
11,Abdullah Shaad,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
12,Abe Tomoteru,1.0,0.0,0.03013863773357444,0.0,,,2018.0,2018.0,Transient,1.0,1.0
13,Abedin Shaad Essa,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2023.0,2023.0,Newcomer,1.0,1.0
14,Abidoye Oyewale,3.0,2.0,0.09041591320072333,0.6666666666666666,0.0013214403700033037,0.0004528989461949647,2019.0,2023.0,Continuant,5.0,0.6
15,Aboody Karen,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2022.0,2022.0,Transient,1.0,1.0
16,Abraham Anson,1.0,1.0,0.03013863773357444,1.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
17,Abraham Anson Kunjachan,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2019.0,2019.0,Transient,1.0,1.0
18,Abraham Antonio Anderson,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2018.0,2018.0,Transient,1.0,1.0
19,Abraham Jim,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2021.0,2021.0,Transient,1.0,1.0
20,Abrams Marc,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2023.0,2023.0,Newcomer,1.0,1.0
21,Abrams Scott I,1.0,0.0,0.03013863773357444,0.0,0.00011012003083360864,0.0,2020.0,2020.0,Transient,1.0,1.0
22,Ackerman Scott E,1.0,0.0,0.03013863773357444,0.0,0.0008809602466688691,0.0,2021.0,2021.0,Transient,1.0,1.0
23,Adam Estelle,2.0,3.0,0.06027727546714888,1.5,0.0005506001541680432,0.0,2020.0,2020.0,Transient,1.0,2.0
24,Adam Julien,2.0,8.0,0.06027727546714888,4.0,0.0006607201850016519,0.0,2015.0,2016.0,Terminator,2.0,1.0
25,Adamkewicz Joanne,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2018.0,2018.0,Transient,1.0,1.0
26,Adamkewicz Joanne Irene,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2023.0,2023.0,Newcomer,1.0,1.0
27,Adamo Jeffrey B,2.0,3.0,0.06027727546714888,1.5,0.0011012003083360864,1.386029337112758e-08,2018.0,2018.0,Transient,1.0,2.0
28,Adams Homer,1.0,1.0,0.03013863773357444,1.0,0.00242264067833939,0.0,2022.0,2022.0,Transient,1.0,1.0
29,Adams Ryan Andrew,1.0,10.0,0.03013863773357444,10.0,0.0007708402158352604,0.0,2017.0,2017.0,Transient,1.0,1.0
30,Adesokan Adeyemi,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2022.0,2022.0,Transient,1.0,1.0
31,Adewoye Adeboye,2.0,1.0,0.06027727546714888,0.5,0.001211320339169695,0.0,2021.0,2022.0,Terminator,2.0,1.0
32,Adewoye Adeboye Henry,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
33,Adewoye Md,2.0,0.0,0.06027727546714888,0.0,0.0014315604008369124,2.182996205952594e-07,2022.0,2022.0,Transient,1.0,2.0
34,Adhikary Sabina,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2023.0,2023.0,Newcomer,1.0,1.0
35,Adler Adam,1.0,0.0,0.03013863773357444,0.0,0.0005506001541680432,0.0,2021.0,2021.0,Transient,1.0,1.0
36,Adler Adam S,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2019.0,2019.0,Transient,1.0,1.0
37,Adler Adam Shultz,2.0,0.0,0.06027727546714888,0.0,0.0005506001541680432,0.0,2019.0,2022.0,Terminator,4.0,0.5
38,Adler Omer,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2021.0,2021.0,Transient,1.0,1.0
39,Adotevi Olivier,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
40,Adraquin Omar A,1.0,0.0,0.03013863773357444,0.0,0.0023125206475057814,0.0,2021.0,2021.0,Transient,1.0,1.0
41,Adria Bykowski Jonas,2.0,0.0,0.06027727546714888,0.0,0.0009910802775024777,0.0,2020.0,2021.0,Terminator,2.0,1.0
42,Adrian Rice,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2020.0,2020.0,Transient,1.0,1.0
43,Adya Neeraj,7.0,7.0,0.21097046413502107,1.0,0.002092280585838564,0.00025973809553556343,2020.0,2021.0,Terminator,2.0,3.5
44,Aebersold Ruedi,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2020.0,2020.0,Transient,1.0,1.0
45,Aerts Joan Geertrudis Jacobus Victor,1.0,0.0,0.03013863773357444,0.0,,,2017.0,2017.0,Transient,1.0,1.0
46,Aerts Joan Gertrudis Jacobus Victor,1.0,2.0,0.03013863773357444,2.0,0.00011012003083360864,0.0,2017.0,2017.0,Transient,1.0,1.0
47,Afanasev Sergej Gennadevich,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2020.0,2020.0,Transient,1.0,1.0
48,Afar Daniel,1.0,0.0,0.03013863773357444,0.0,0.0007708402158352604,0.0,2023.0,2023.0,Newcomer,1.0,1.0
49,Afar Daniel E H,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2017.0,2017.0,Transient,1.0,1.0
50,Aggarwal Lovisha,2.0,0.0,0.06027727546714888,0.0,0.002092280585838564,8.186235772322228e-08,2022.0,2022.0,Transient,1.0,2.0
51,Agnello Giulia,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2017.0,2017.0,Transient,1.0,1.0
52,Agrawal Neeraj Jagdish,2.0,0.0,0.06027727546714888,0.0,0.0008809602466688691,3.465073342781895e-09,2020.0,2022.0,Terminator,3.0,0.6666666666666666
53,Agrawal Shruti,1.0,0.0,0.03013863773357444,0.0,0.00044048012333443455,0.0,2022.0,2022.0,Transient,1.0,1.0
54,Agrawal Sudhir,2.0,0.0,0.06027727546714888,0.0,0.00022024006166721728,0.0,2017.0,2020.0,Terminator,4.0,0.5
55,Aguirre Ena Xabier,1.0,1.0,0.03013863773357444,1.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
56,Ahearn Cathleen,1.0,0.0,0.03013863773357444,0.0,0.00022024006166721728,0.0,2020.0,2020.0,Transient,1.0,1.0
57,Ahmad Gulzar,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
58,Ahmadi Tahamtan,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2019.0,2019.0,Transient,1.0,1.0
59,Ahmed Rafi,6.0,378.0,0.18083182640144665,63.0,0.0015416804316705209,2.5322755989050086e-06,2006.0,2022.0,Terminator,17.0,0.35294117647058826
60,Ahmed Sherif,1.0,3.0,0.03013863773357444,3.0,0.00011012003083360864,0.0,2020.0,2020.0,Transient,1.0,1.0
61,Ahmed Syed Saleem,1.0,0.0,0.03013863773357444,0.0,0.00033036009250082593,0.0,2019.0,2019.0,Transient,1.0,1.0
62,Ahn Byung Cheol,1.0,0.0,0.03013863773357444,0.0,0.0006607201850016519,0.0,2022.0,2022.0,Transient,1.0,1.0
63,Ahn Hyo Min,2.0,2.0,0.06027727546714888,1.0,0.00011012003083360864,0.0,2020.0,2021.0,Terminator,2.0,1.0
64,Ahn Sang Yeop,1.0,0.0,0.03013863773357444,0.0,0.0016518004625041295,0.0,2023.0,2023.0,Newcomer,1.0,1.0
