,Application Year,Lens ID,Inventor
0,2020,197-733-628-711-768,Hamm Svetlana
1,2020,197-733-628-711-768,Hermann Frank
2,2020,023-616-950-865-48X,Ernst Matthias Robert Walter
3,2020,023-616-950-865-48X,Poh Ashleigh Ren-Yi
4,2019,094-569-953-648-612,Jiang Jiahua
5,2019,094-569-953-648-612,Zhang Lan
6,2019,094-569-953-648-612,Lianshan Zhang
7,2019,094-569-953-648-612,Changyong Yang
8,2019,094-569-953-648-612,Sun Piao-Yang
9,2019,094-569-953-648-612,Huang Xiaoxing
10,2019,094-569-953-648-612,Liao Cheng
11,2019,143-969-408-220-424,Lianshan Zhang
12,2019,143-969-408-220-424,Zhang Lan
13,2019,143-969-408-220-424,Liao Cheng
14,2019,143-969-408-220-424,Jiang Jiahua
15,2019,194-887-353-832-386,Schumacher Antonius Nicolaas Maria
16,2019,194-887-353-832-386,Zippelius Alfred Karl Josef
17,2019,194-887-353-832-386,Kölzer Viktor Hendrik
18,2019,194-887-353-832-386,Mertz Kirsten Diana
19,2019,194-887-353-832-386,Thommen Daniela Stefanie
20,2020,048-687-952-766-173,Liang Xi
21,2020,048-687-952-766-173,Yin Peijun
22,2020,048-687-952-766-173,Sun Ningyun
23,2020,048-687-952-766-173,Wen Bin
24,2020,048-687-952-766-173,Yu Hongjing
25,2020,048-687-952-766-173,Xu Xiaofen
26,2020,119-707-519-691-958,Liang Xi
27,2020,119-707-519-691-958,Sun Ningyun
28,2020,119-707-519-691-958,Gao Yuan
29,2020,119-707-519-691-958,Wen Bin
30,2020,119-707-519-691-958,Yu Hongjing
31,2020,119-707-519-691-958,Xu Xiaofen
32,2020,149-016-712-581-254,Zhang Lan
33,2020,149-016-712-581-254,Lianshan Zhang
34,2020,149-016-712-581-254,Sun Piao-Yang
35,2020,149-016-712-581-254,Huang Xiaoxing
36,2020,149-016-712-581-254,Liao Cheng
37,2020,149-016-712-581-254,Lin Kan
38,2020,020-234-034-382-965,Bissonnette Reid
39,2020,020-234-034-382-965,Gillings Mireille
40,2019,193-296-399-826-79X,Hermann Frank
41,2019,193-296-399-826-79X,Bartz René
42,2017,186-328-359-013-188,Charo Israel
43,2017,186-328-359-013-188,Jung Hei-Youn
44,2017,186-328-359-013-188,Zhang Penglie
45,2017,186-328-359-013-188,Schall Thomas J
46,2020,091-135-388-662-800,Liang Xi
47,2020,091-135-388-662-800,Yin Peijun
48,2020,091-135-388-662-800,Sun Ningyun
49,2020,091-135-388-662-800,Wen Bin
50,2020,091-135-388-662-800,Yu Hongjing
51,2020,091-135-388-662-800,Xu Xiaofen
52,2020,168-324-458-691-100,Su Wenjing
53,2020,168-324-458-691-100,Yang Guangli
54,2020,168-324-458-691-100,Scher Howard
55,2020,168-324-458-691-100,Marzabadi Mohammad
56,2020,168-324-458-691-100,Ouerfelli Ouathek
57,2020,168-324-458-691-100,Giancotti Filippo
58,2017,101-736-286-883-834,Bissonnette Reid P
59,2017,101-736-286-883-834,Gillings Mireille
60,2017,101-736-286-883-834,Rolland Alain
61,2022,054-749-252-162-457,Yan Dan
62,2022,054-749-252-162-457,Long Jianglan
63,2022,054-749-252-162-457,Cao Bangwei
64,2022,054-749-252-162-457,Wang Aiting
65,2022,054-749-252-162-457,Zhao Wei
66,2022,054-749-252-162-457,Zhang Yu
67,2020,105-903-923-252-519,Björck Pia
68,2020,105-903-923-252-519,Yang Xiaodong
69,2020,105-903-923-252-519,Filbert Erin L
70,2023,028-840-280-372-042,Yan Dan
71,2023,028-840-280-372-042,Long Jianglan
72,2023,028-840-280-372-042,Cao Bangwei
73,2023,028-840-280-372-042,Wang Aiting
74,2023,028-840-280-372-042,Zhao Wei
75,2023,028-840-280-372-042,Zhang Yu
76,2015,140-905-263-458-164,Lannutti Brian
77,2015,140-905-263-458-164,Hamdy Ahmed
78,2015,140-905-263-458-164,Kaptein Allard
79,2015,140-905-263-458-164,Rothbaum Wayne
80,2015,140-905-263-458-164,Barf Tjeerd
81,2015,140-905-263-458-164,Johnson Dave
82,2015,140-905-263-458-164,Ulrich Roger
83,2015,140-905-263-458-164,Covey Todd
84,2015,140-905-263-458-164,Izumi Raquel
85,2016,099-972-495-487-55X,Lannutti Brian
86,2016,099-972-495-487-55X,Hamdy Ahmed
87,2016,099-972-495-487-55X,Kaptein Allard
88,2016,099-972-495-487-55X,Rothbaum Wayne
89,2016,099-972-495-487-55X,Barf Tjeerd
90,2016,099-972-495-487-55X,Johnson Dave
91,2016,099-972-495-487-55X,Ulrich Roger
92,2016,099-972-495-487-55X,Covey Todd
93,2016,099-972-495-487-55X,Izumi Raquel
94,2023,084-654-388-882-687,De Achaval Sofia
95,2023,084-654-388-882-687,Gyuris Jeno
96,2023,084-654-388-882-687,Alibhai Imran
97,2017,159-022-558-374-68X,Bissonnette Reid P
98,2017,159-022-558-374-68X,Gillings Mireille
99,2017,159-022-558-374-68X,Rolland Alain
100,2021,104-169-688-287-294,Zhang Lei
