,Jurisdiction,Region,Patent Count,Total Citations,Percentage of Total Patents,Average Citation Count,First Year,Last Year,2023 Classification,Duration (Years),Mean Patents/Year
0,Australia,Oceania,128.0,10.0,3.8554216867469884,0.078125,2011.0,2022.0,Terminator,12.0,10.666666666666666
1,Canada,North America,147.0,3.0,4.427710843373494,0.02040816326530612,1998.0,2022.0,Terminator,25.0,5.88
2,China,Asia,1021.0,1894.0,30.753012048192772,1.8550440744368266,2006.0,2023.0,Continuant,18.0,56.72222222222222
3,Costa Rica,North America,2.0,0.0,0.06024096385542169,0.0,2021.0,2021.0,Transient,1.0,2.0
4,Epo,Europe,78.0,99.0,2.3493975903614457,1.2692307692307692,1998.0,2022.0,Terminator,25.0,3.12
5,Eurasian Patent Org.,Eurasia,3.0,0.0,0.09036144578313253,0.0,2013.0,2016.0,Terminator,4.0,0.75
6,Georgia,Europe,2.0,0.0,0.06024096385542169,0.0,2016.0,2016.0,Transient,1.0,2.0
7,Japan,Asia,82.0,41.0,2.4698795180722892,0.5,1997.0,2023.0,Continuant,27.0,3.037037037037037
8,Jordan,Asia,2.0,0.0,0.06024096385542169,0.0,2013.0,2019.0,Terminator,7.0,0.2857142857142857
9,Luxembourg,Europe,2.0,0.0,0.06024096385542169,0.0,2023.0,2023.0,Newcomer,1.0,2.0
10,Malaysia,Asia,2.0,0.0,0.06024096385542169,0.0,2016.0,2017.0,Terminator,2.0,1.0
11,Mexico,North America,41.0,2.0,1.2349397590361446,0.04878048780487805,2011.0,2021.0,Terminator,11.0,3.727272727272727
12,Morocco,Africa,1.0,0.0,0.030120481927710847,0.0,2015.0,2015.0,Transient,1.0,1.0
13,Netherlands,Europe,1.0,0.0,0.030120481927710847,0.0,2019.0,2019.0,Transient,1.0,1.0
14,New Zealand,Oceania,21.0,0.0,0.6325301204819277,0.0,2003.0,2018.0,Terminator,16.0,1.3125
15,Philippines,Asia,6.0,0.0,0.18072289156626506,0.0,2016.0,2021.0,Terminator,6.0,1.0
16,Russia,Europe,28.0,3.0,0.8433734939759037,0.10714285714285714,2003.0,2021.0,Terminator,19.0,1.4736842105263157
17,Singapore,Asia,9.0,1.0,0.2710843373493976,0.1111111111111111,2015.0,2018.0,Terminator,4.0,2.25
18,South Africa,Africa,1.0,0.0,0.030120481927710847,0.0,2022.0,2022.0,Transient,1.0,1.0
19,South Korea,Asia,70.0,41.0,2.108433734939759,0.5857142857142857,2008.0,2023.0,Continuant,16.0,4.375
20,Sweden,Europe,1.0,0.0,0.030120481927710847,0.0,2020.0,2020.0,Transient,1.0,1.0
21,Taiwan,Asia,105.0,9.0,3.1626506024096384,0.08571428571428572,2005.0,2022.0,Terminator,18.0,5.833333333333333
22,Ukraine,Europe,1.0,0.0,0.030120481927710847,0.0,2018.0,2018.0,Transient,1.0,1.0
23,United Kingdom,Europe,3.0,0.0,0.09036144578313253,0.0,2015.0,2021.0,Terminator,7.0,0.42857142857142855
24,United States,North America,636.0,2507.0,19.156626506024097,3.941823899371069,2001.0,2023.0,Continuant,23.0,27.652173913043477
25,Wipo,International,927.0,2794.0,27.92168674698795,3.0140237324703345,1998.0,2023.0,Continuant,26.0,35.65384615384615
